old_commit	new_commit	subject
098287d838823907a4e8a11ceeb08e6a4e8c1906	6e9a82582c33ff34cc16e4bea6b1c869040e1971	Note public repository and default-branch link issue in handoff
eb566c3b60cab759c3136f4e0692893cb3590fad	4a70dde6e455e04c3ad57987d84f16c732b31b6b	Update handoff with amendment 6-7 findings and next steps
b45e9458fd1f2a73883a725a0e5978a95687fd20	6d2c21e22857988f9dd650b862fa082dfe53e1fe	Report converged and brain-only probe results in the manuscript within four pages
910c0b13ec6960fee04a5a516035656fd9de36ed	9644c5f58b19936aad508eea767b857dea379fe7	Version amendment 6 (converged probes) and amendment 7 (brain-only) results
90b5ae7092fd6cc8416273df4d89cd4f6f415400	ac547959bc141b9cbac05554a140c944ba8436f2	Record amendment 6-7 pipeline, four-page limit and template check in handoff
e8ebc1937d592ed466a3c758eaa73500b54df84c	5b67f50cb2129a4adafd1c002e12ec272c8f06cf	Column-width qualitative figure to keep the paper within four pages
a9805df6caefa16b3d28aaec3d233b8861b87aa0	b48dc54f168345b2e23efa3521272674f2b59641	Evaluate from original volumes even when a training cache is set
f666b72cc5a461e4e426e607f5bdabee357fce94	c6ea95251fa243bd39c3d54a231567faf4ff66d9	Cite travelling-subject and retrained-classifier prior work; correct diffusion alignment wording
159b502297026f248e07d51532b1d8b7d028e935	f09cabe45050e1074a878b35a13368ed90b9919f	Add brain-only probe control pipeline (amendment 7)
726b5cdedab9366ad400d3300b0aacd2eb03dc7a	b1ea0ae9eb84161082fcde8340c87b2ab86885fb	Add protocol amendment 7: brain-only probe control
cb4e61d47cd10b1a05c9af5d6534896d12878a88	2e961e833668599c81fa4e45908dc16b47484982	Add converged site-probe recipe and local volume cache (amendment 6)
72bd2375dcdfa8ce82ebad60227e8ffc2e538526	697452d830683c1aa255f587d3bb40bbc6a09bee	Add protocol amendment 6: converged site-probe recipe
4b261e37d490443dd9f8052616e76721db89c4b0	d0c648a8af94cbb07b624a5ba1ed8a4ea3e38f44	Version ISBI 2027 results, handoff notes and code-release statement
f16a2c172c0da8bac3982b5e8929db84530edc68	c0afb2096e303c4f42bb1e2e80ffa0df315ca646	Tighten manuscript to four pages and add qualitative figure
b4bcc49390e5958026531a419bb2cf5bcbb5cea9	0137b9d034ac465342e0deb9943c12b89bd9cf79	Separate retrained-probe ranges from frozen intervals in figure
99560546ff36ba780f8763fd423d8327b51272d6	9f9907e025736dc5d598632f561d6efdd4f2347a	Report five-seed probe variability and rank agreement
b92ed35eb9ebba8f07d4bfa540fa8fd53e572f81	b5a7535849b1ee8295c7b0edf1cd62a12ad839b1	Add silhouette and intensity-only controls to figure and manuscript
ea4a05661edffcc21bd71016f43fc4ea18ffd1ce	9c96eadd8bac8f7061d5f4425a41a6deb275b247	Show image and intensity probes as raw-trained to output-trained pairs in table
e110ec6a13ec150a8ab093a630ec966b9e6c0c59	59674a8de851b7258f80778777735f501f6f07fa	Add intensity-only histogram probe control (amendment 5)
04dae83b0c0febe0095aab0fc9e19f65aeed2708	557a6d9da7fb4ec822f7468fcc2351095af7a5a7	Add harmonized-probe results to manuscript, table and figure
f3daea4885af1c9dcb7379b2e1aef3f45bc403e3	413405a19333f92d0fcdf08b1131402a0b0e1aee	Add post-hoc head-silhouette control for slice probes (amendment 4)
6d0fc1b2cec419d18cdee46b3df799117c62dd83	be463720a5e3c7caba37c4521b056c4ab3e14af0	Add probe seed spread and ranking agreement analysis
ab66a423c3ae87f752427ba643757f080d6decf5	7ecbfca44de6f4f9a981876bc63c5aab82eee3ad	Collect one run per probe identity
b85e87e6671f5ffba40b05a36bb9393f958b45b8	b8f9740ba205276ffa506610ed67bf90ba6e0c66	Add qualitative figure with rule-based subject selection
33bfd29ba6ec288dd1e08b5082f8d63cef8753f4	dd09e86dadb6d8b6b209737216ed1c3af8c659e0	Draft ISBI 2027 audit manuscript with generated table and figure
17e9273dded138c1d5c3697e90eda2610017d509	9d077e68f4c256b9c79a19373083ea918a8b443a	Add results collector and probe-verdict figure script
e0e64c67d3d98a932ec82826d2e4c5b05dbdab79	53c60af556e34854992e68c9ffa758fd0757354b	Revise export gate for nondeterminism and add diffusion redraw artifact
3a6dbb4cf824cdbb6ac096995edef34c45beb42a	669117eb5fee17e715b62fa71c8a7b9ee889ed36	Add target alignment, export integrity gate and slice-probe runner
471c24e9b86f6ef1fc742c4168cd8081a4dc1f48	e908d88df7c082a956810708150b6413b7bb128a	Pre-specify seed, harmonized-probe and target-alignment experiments
a95753e4037a9346bcae3d12171860472ab6454a	cadb705740a0d5fe00fb71db095703dd19a459d9	Add vpulab export runner for harmonized-probe train/val slices
6edb24e63b20017f6e47d26fd613ed2254a3f5e2	0dc67ba5aaf1bce318f2eb511d37a34866de22ab	Add multi-seed probe runner and save final-epoch probe weights
36fa7d2c46c4d1815000379a7559b1c50ce00fa1	8842ef1634783b11ba950d87b1d77106cb230501	Allow probe checkpoint override in ISBI evaluation
adfd2a17b158f4a061db66e1498d2eadebaf818d	6941c1ef4e93055192e9b45abc7b151b5a3d2a95	Record HCLD re-export result and probe retraining recipe in protocol
f20e0335eef5e57f165f4d1028ec8dad4af2b340	5ec3d0bc8365005bbc08d7f90675be75ed87359f	Unbuffer probe training logs on vpulab
3f310d7a22399086141e956499101b0f9d66c014	b20e9d0e3b5c3b4fde84ab587c48c96a812cc173	Add vpulab site-probe retraining launcher for ISBI 2027
79bda4a33191eb2ed5b947de76e6b00a55a8378f	d6d5536ff0f308a0c580ed9e9c2ca8be16557e26	Add ISBI 2027 subject-level evaluator and frozen protocol
2c5f6a84543ae7f09c747f15b6ca7e70943ad9b9	2c5f6a84543ae7f09c747f15b6ca7e70943ad9b9	Add adapted HCLD reproducibility docs
